Title,Mileage,Year,Transmission,Fuel,Price
Volkswagen Passat,160 000,2016,Manuelle,Essence,59 000
Haval H6,16 000,2022,Automatique,Essence,117 000
Haval H6 Luxury,55 000,2021,Automatique,Essence,85 000
Volkswagen Golf 8 1.4,40 000,2022,Automatique,Essence,105 000
Jaguar F-Pace R_Dynamic,165 000,2017,Automatique,Diesel,179 000
Renault Kadjar,140 000,2018,Automatique,Essence,70 000
Toyota Corolla,24 000,2022,Automatique,Essence,79 000
Peugeot 308,128 000,2020,Manuelle,Essence,47 000
Mercedes-Benz Classe C coupé AMG,130 000,2018,Automatique,Essence,167 000
Citroën C3 Shine,45 000,2020,Manuelle,Essence,47 500
Ford Focus Titanium,200 000,2015,Manuelle,Essence,40 000
Porsche Panamera,82 000,2011,Automatique,Essence,178 000
KIA Seltos,130 000,2021,Automatique,Essence,89 000
Seat Ibiza FR,40 000,2023,Automatique,Essence,81 000
Alfa Romeo Giulietta,37 000,2019,Automatique,Essence,77 000
Land Rover Discovery R-DYNAMIC,87 000,2020,Automatique,Diesel,235 000
Volkswagen Golf 7 Confortline,190 000,2013,Automatique,Essence,49 000
Renault Megane 4 Diesel,125 000,2020,Manuelle,Diesel,64 500
KIA Rio 5p GT-Line,60 000,2021,Manuelle,Essence,65 000
Fiat Fiorino,120 000,2021,Manuelle,Diesel,35 000
Dacia Duster Techroad,35 000,2020,Manuelle,Essence,75 000
BMW Série 5 530e Xdrive Pack m,50 000,2021,Automatique,Hybride,278 000
BMW Série 4 Gran Coupé 418 Luxury,133 000,2016,Automatique,Essence,97 000
Volkswagen Passat R-Line DSG,40 000,2022,Automatique,Essence,125 000
Toyota Hilux Double Cabine Gr Sport,7 000,2024,Manuelle,Diesel,290 000
Toyota C-HR,55 000,2022,Automatique,Essence,91 000
Audi A5 Sportback S-Line,120 000,2019,Automatique,Essence,109 000
Peugeot 2008,100 000,2021,Manuelle,Diesel,80 000
KIA Rio 5p,85 000,2022,Manuelle,Essence,Sous leasing                    59 700
Honda CR-V,67 000,2018,Automatique,Essence,91 000
Audi Q5 S-line,40 000,2021,Automatique,Diesel,295 000
KIA Sportage Hybride,114 000,2021,Automatique,Hybride,107 000
KIA Sportage GT-Line,19 000,2021,Manuelle,Diesel,128 000
Dacia Duster Techroad,34 000,2020,Manuelle,Essence,76 000
Mercedes-Benz Classe S AMG,3 000,2022,Automatique,Hybride,660 000
BMW X5 Hybride Xdrive E45,19 000,2021,Automatique,Hybride,455 000
Hyundai Tucson Hybride Xcellence,120 000,2022,Automatique,Hybride,138 000
BMW Série 1 I Pack Sport,200 000,2019,Automatique,Essence,75 000
KIA Sportage GT-Line,140 000,2017,Automatique,Diesel,105 000
Mercedes-Benz Classe C AMG,50 000,2023,Automatique,Essence,235 000
Jaguar XE,140 000,2017,Automatique,Diesel,120 000
Peugeot Rifter,95 000,2020,Manuelle,Diesel,72 000
BMW Série 7 740LI,98 000,2010,Automatique,Essence,110 000
Peugeot Rifter 5 places,95 000,2020,Manuelle,Diesel,72 000
Land Rover Range Rover Evoque Hybride,50 000,2019,Automatique,Diesel,187 000
Ford Mondeo Hybride,32 000,2020,Automatique,Hybride,115 000
KIA Rio 5p GT-Line,64 000,2021,Manuelle,Essence,64 000
Mercedes-Benz GLC AMG,115 000,2017,Automatique,Essence,169 000
Mini 5 portes One,78 000,2016,Manuelle,Essence,57 000
Citroën C3 Shine,28 000,2020,Manuelle,Essence,48 000
Audi A3 Berline,50 000,2019,Automatique,Essence,85 000
KIA Sportage,127 000,2019,Automatique,Essence,83 500
Mercedes-Benz GLA AMG,12 000,2023,Automatique,Essence,Non dédouané                    235 000
Audi Q3,95 000,2017,Automatique,Essence,95 000
Mercedes-Benz GLB 200 d,111 000,2021,Automatique,Diesel,210 000
Audi A4 Face_lift,143 000,2016,Automatique,Essence,58 000
Land Rover Range Rover Evoque Face_lift,170 000,2016,Automatique,Essence,95 000
BMW Série 1 Pack M,40 000,2020,Automatique,Essence,135 000
Land Rover Range Rover Evoque Hybride,40 000,2019,Automatique,Diesel,195 000
Haval H6 Luxury,120 000,2020,Automatique,Essence,79 000
Iveco Daily Simple Cabine,40 000,2022,Manuelle,Diesel,105 000
Land Rover Discovery Sport,128 000,2017,Automatique,Diesel,128 000
Haval H6 Luxury,40 000,2021,Automatique,Essence,90 000
KIA Sportage Hybride,140 000,2020,Automatique,Hybride,98 000
KIA Sportage,125 000,2019,Automatique,Essence,85 000
Hyundai Tucson Hybride,80 000,2021,Automatique,Hybride,137 000
Audi Q5 QUATTRO 40 TDI,170 000,2019,Automatique,Diesel,165 000
Fiat Panda City Cross,52 000,2020,Manuelle,Essence,43 500
Volkswagen Golf 6 Match,240 000,2012,Manuelle,Diesel,45 000
Ford Ranger Raptor,100 000,2022,Automatique,Diesel,228 000
BMW Série 4 Coupé Pack M,140 000,2021,Automatique,Essence,130 000
Mercedes-Benz Classe B,100 000,2014,Manuelle,Essence,48 000
MG ZS Luxury,80 000,2022,Automatique,Essence,75 000
Land Rover Range Rover Evoque Hybride,60 000,2019,Automatique,Diesel,210 000
Renault Kadjar,70 000,2019,Manuelle,Essence,68 000
Mazda 3 Sky active,103 000,2017,Manuelle,Essence,56 000
Audi Q8 S_Line,16 000,2021,Automatique,Essence,398 000
Mercedes-Benz Classe C coupé AMG,50 000,2019,Automatique,Essence,173 000
MG ZS,35 000,2022,Manuelle,Essence,Sous leasing                    78 000
Suzuki Baleno,160 000,2017,Automatique,Essence,40 000
KIA Sportage,69 000,2019,Automatique,Essence,95 000
Ford Kuga,100 000,2017,Manuelle,Essence,69 000
Mercedes-Benz CLS AMG,160 000,2011,Automatique,Diesel,119 000
Mercedes-Benz GLA 180 Pack AMG,40 000,2022,Automatique,Essence,185 000
Seat Arona,26 000,2021,Manuelle,Essence,73 500
Toyota Corolla,90 000,2021,Automatique,Essence,71 000
Haval H6 Luxury,115 000,2020,Automatique,Essence,79 000
Skoda Superb Ambassador,30 000,2021,Automatique,Essence,125 000
MG 6,22 000,2021,Automatique,Essence,79 000
Mercedes-Benz GLC Coupé AMG,190 000,2017,Automatique,Diesel,189 000
Mercedes-Benz Classe C 180 elegance,170 000,2016,Automatique,Essence,89 000
Mercedes-Benz GLC Coupé AMG,69 000,2020,Automatique,Hybride,278 000
Mercedes-Benz Classe E 180,90 000,2018,Automatique,Essence,135 000
Ssangyong Actyon Sports,200 000,2017,Manuelle,Diesel,42 000
DS 3,138 000,2012,Automatique,Essence,35 000
Audi A3 Berline,17 000,2020,Manuelle,Essence,97 000
Nissan Qashqai,147 000,2011,Automatique,Essence,43 000
BMW Série 5 Confort Luxury,200 000,2015,Automatique,Essence,90 000
Volkswagen Passat R-Line,100 000,2019,Automatique,Essence,101 000
Land Rover Discovery Sport,160 000,2017,Automatique,Diesel,125 000
Citroën C3 Shine,90 000,2019,Manuelle,Essence,44 500
Volkswagen Amarok,370 000,2012,Manuelle,Diesel,49 000
Mercedes-Benz Classe E Business,8 000,2022,Automatique,Essence,Sous leasing                    291 800
Mini 3 portes one,140 000,2013,Manuelle,Essence,37 000
BMW Série 1,126 000,2017,Manuelle,Essence,68 000
Toyota Hilux Double Cabine 4*4,3 000,2024,Manuelle,Essence,231 000
Peugeot 2008 Allure,34 000,2022,Automatique,Essence,97 000
Mercedes-Benz Classe A AMG,20 000,2022,Automatique,Essence,158 000
Volkswagen Passat R-Line,60 000,2020,Automatique,Essence,106 000
Volkswagen Tiguan,60 000,2018,Automatique,Essence,90 000
Mercedes-Benz Classe C AMG,160 000,2014,Automatique,Essence,99 000
Chery Tiggo 8 Pro,80 000,2022,Automatique,Essence,96 000
BYD F3,10 000,2022,Manuelle,Essence,47 000
Citroën C3 Shine,58 000,2019,Manuelle,Essence,44 500
BMW Série 4 Coupé 420i Pack M,160 000,2015,Automatique,Essence,107 000
Audi Q3 S-line,100 000,2017,Automatique,Essence,90 000
Volkswagen Golf 8 United,26 000,2020,Manuelle,Essence,109 000
Peugeot 208,60 000,2020,Manuelle,Essence,35 000
Audi A5 Cabriolet S-line,120 000,2010,Automatique,Essence,59 000
Honda Accord,11 000,2022,Automatique,Essence,135 000
Volkswagen Golf 7,40 000,2019,Manuelle,Essence,74 000
KIA Sportage,40 000,2020,Automatique,Essence,119 000
BMW Série 2 Gran Coupé 218i,21 000,2022,Automatique,Essence,135 000
Fiat Tipo 5 portes,75 000,2018,Manuelle,Essence,46 000
Haval H6,13 000,2022,Automatique,Essence,Sous leasing                    150 600
Volkswagen Golf 7 Smartline,140 000,2015,Automatique,Essence,52 000
Haval H6 Luxury,90 000,2019,Automatique,Essence,78 000
Chevrolet Cruze,90 000,2018,Manuelle,Essence,40 000
Volkswagen Golf 7,29 000,2019,Manuelle,Essence,76 000
Mercedes-Benz Classe E 200,330 000,2010,Automatique,Essence,51 000
Mercedes-Benz Classe E e220,330 000,2011,Automatique,Diesel,77 000
Volkswagen Golf 8 R-Line,40 000,2021,Automatique,Essence,145 000
Mercedes-Benz Classe C AMG,16 000,2023,Automatique,Essence,240 000
Dodge RAM Rumble bee,65 000,2019,Automatique,Essence,Non dédouané                    212 000
Mercedes-Benz CLA,163 000,2014,Automatique,Essence,81 000
Haval H2 Luxury,40 000,2019,Automatique,Essence,69 000
Haval H6 Luxury,32 000,2019,Automatique,Essence,86 000
Mercedes-Benz CLA AMG,30 000,2021,Automatique,Essence,169 000
Mercedes-Benz Classe A 180d,50 000,2019,Automatique,Diesel,98 000
Volkswagen Golf 7,64 000,2019,Automatique,Essence,74 000
Audi A3 Sportback S-Line,70 000,2019,Automatique,Essence,95 000
Mercedes-Benz Classe C AMG,40 000,2022,Automatique,Essence,205 000
DS 7 Crossback Grand Chic,140 000,2021,Automatique,Essence,105 000
Mercedes-Benz Classe C AMG,50 000,2022,Automatique,Essence,Sous leasing                    264 200
Volkswagen Golf 7 Join,70 000,2018,Automatique,Essence,84 000
Mercedes-Benz CLA 220,240 000,2013,Automatique,Diesel,79 000
BMW X6 Pack M,270 000,2008,Automatique,Diesel,110 000
Audi A5 Cabriolet S-line,120 000,2010,Automatique,Essence,59 000
Seat Leon Style,65 000,2020,Manuelle,Essence,73 000
Citroën Berlingo Utilitaire,170 000,2018,Manuelle,Diesel,37 500
KIA Sportage,23 000,2022,Automatique,Essence,143 000
Volkswagen Golf 7,180 000,2019,Automatique,Essence,64 000
Mercedes-Benz Classe S Executive,170 000,2008,Automatique,Essence,78 000
Volkswagen Tiguan Confortline,33 000,2020,Automatique,Essence,128 000
Volkswagen Golf 7 R-Line,130 000,2018,Manuelle,Essence,80 000
Hyundai Kona,30 000,2021,Manuelle,Hybride,79 000
Seat Leon FR,70 000,2022,Automatique,Essence,Sous leasing                    122 800
Hyundai Grand i10,30 000,2022,Manuelle,Essence,53 000
Peugeot 2008 GT_LINE,30 000,2021,Manuelle,Essence,92 000
Mercedes-Benz Classe C coupé AMG,40 000,2019,Automatique,Essence,179 000
KIA Sportage GT-Line,120 000,2021,Automatique,Hybride,119 000
BMW Série 3 318i,117 000,2017,Automatique,Essence,88 000
Chery Tiggo 2 Confort,60 000,2020,Manuelle,Essence,43 500
Haval Jolion,40 000,2022,Automatique,Essence,87 000
Mercedes-Benz Classe C AMG,40 000,2022,Automatique,Essence,208 000
Hyundai Grand i10,54 000,2021,Automatique,Essence,53 000
Seat Ibiza FR,100 000,2020,Automatique,Essence,68 000
Mercedes-Benz CLA AMG,20 000,2020,Automatique,Essence,169 000
Seat Ibiza FR,50 000,2020,Manuelle,Essence,67 000
Volkswagen T-roc,87 000,2020,Manuelle,Essence,85 000
Mercedes-Benz GLA AMG,74 000,2016,Automatique,Essence,113 000
Mercedes-Benz Classe C AMG,170 000,2014,Automatique,Essence,115 000
Audi Q3 Sportback,10 000,2021,Automatique,Essence,188 000
Audi Q5,100 000,2018,Automatique,Diesel,215 000
Volkswagen Golf 8 R-Line,70 000,2021,Automatique,Essence,125 000
Jaguar F-Pace R-DYNAMIC,165 000,2017,Automatique,Diesel,185 000
Peugeot 3008 GT-line,260 000,2017,Automatique,Essence,77 000
Land Rover Range Rover Velar R-Dynamic,100 000,2019,Automatique,Diesel,Non dédouané                    350 000
Porsche Panamera PLATINUM édition,100 000,2014,Automatique,Essence,255 000
Land Rover Range Rover Velar R-Dynamic,90 000,2020,Automatique,Essence,295 000
Dongfeng Forthing T5 EVO,4 000,2023,Automatique,Essence,Sous leasing                    182 900
Chery Tiggo 3,75 000,2018,Manuelle,Essence,47 000
Audi Q3,77 000,2017,Automatique,Essence,85 000
Renault Kadjar Intens,150 000,2018,Automatique,Essence,66 000
Volkswagen Golf 8 R-Line,40 000,2021,Automatique,Essence,155 000
Mercedes-Benz Classe C AMG,35 000,2020,Automatique,Hybride,205 000
Volkswagen Golf 7 Join,120 000,2019,Automatique,Essence,80 000
BMW Série 4 Gran Coupé Luxury,100 000,2018,Automatique,Essence,99 000
Hyundai Tucson,24 000,2023,Automatique,Essence,161 000
Hyundai Tucson,120 000,2020,Automatique,Essence,87 000
BMW Série 1 Pack sport,70 000,2020,Automatique,Essence,92 000
Fiat Panda City Cross,20 000,2022,Manuelle,Essence,45 000
BMW Série 4 Gran Coupé 418 PACK M,110 000,2017,Automatique,Essence,125 000
Mercedes-Benz Classe E AMG,135 000,2011,Automatique,Essence,77 000
Mercedes-Benz Classe C AMG,80 000,2022,Automatique,Essence,215 000
Dongfeng SX3,30 000,2021,Manuelle,Essence,65 000
Volkswagen Golf 8 United,16 000,2021,Manuelle,Essence,128 000
Mercedes-Benz Classe A AMG,15 000,2022,Automatique,Essence,172 000
Mercedes-Benz Classe C AMG,80 000,2019,Automatique,Diesel,148 000
MG GS Luxe,115 000,2017,Automatique,Essence,62 000
Mitsubishi ASX 4WD,55 000,2021,Automatique,Essence,Sous leasing                    122 800
Land Rover Discovery,130 000,2017,Automatique,Diesel,126 000
Audi A5 Sportback,70 000,2021,Automatique,Essence,185 000
BMW Série 7 Individuel,300 000,2008,Automatique,Essence,45 000
Land Rover Range Rover Sport,160 000,2014,Automatique,Diesel,245 000
BMW Série 4 Coupé,78 000,2017,Automatique,Essence,110 000
MG GS Luxe Plus,100 000,2017,Automatique,Essence,61 000
Peugeot RCZ,171 000,2011,Manuelle,Essence,40 000
Land Rover Discovery Sport,94 000,2016,Automatique,Diesel,118 000
Volkswagen Amarok AWD,180 000,2016,Manuelle,Diesel,87 000
BMW Série 7 740I FACE-LIFT,220 000,2008,Automatique,Essence,55 000
Ford Ecosport Titanium,67 000,2022,Manuelle,Essence,69 000
Toyota Corolla Cross Hybride High,36 000,2022,Automatique,Hybride,120 000
MG ZS Confort Plus,141 000,2019,Automatique,Essence,58 000
KIA Sportage,150 000,2019,Automatique,Essence,85 000
BMW Série 3 coupé Kit M///,152 000,2012,Manuelle,Essence,74 000
Mercedes-Benz Classe C AMG,200 000,2011,Automatique,Essence,71 000
Audi A5 Coupé,109 000,2014,Automatique,Essence,75 000
KIA Rio 5p SX,35 000,2020,Manuelle,Essence,58 500
BMW Série 1 Business Line,251 000,2012,Manuelle,Essence,36 500
Volkswagen Golf 7 Sound,125 000,2018,Manuelle,Essence,78 000
Mercedes-Benz CLA AMG,25 000,2021,Automatique,Hybride,170 000
Mercedes-Benz Classe A AMG,35 000,2020,Automatique,Hybride,135 000
Peugeot 308,102 000,2020,Manuelle,Essence,50 000
Ford Ecosport Titanium,44 000,2022,Manuelle,Essence,67 000
Fiat 500 Cult Club,3 000,2023,Automatique,Essence,62 000
Mercedes-Benz Classe A AMG,60 000,2021,Automatique,Essence,115 000
Volkswagen Tiguan R-Line,160 000,2019,Automatique,Essence,110 000
Volkswagen Scirocco,200 000,2010,Manuelle,Essence,40 000
Audi A5 Sportback,80 000,2019,Automatique,Essence,115 000
Hyundai Tucson,81 000,2018,Automatique,Diesel,100 000
Land Rover Discovery,110 000,2016,Automatique,Essence,125 000
Mercedes-Benz Classe A,90 000,2021,Automatique,Essence,110 000
Hyundai Tucson Hybride Top Grade,16 000,2023,Automatique,Diesel,178 000
Peugeot 508,145 000,2018,Automatique,Essence,51 000
Mercedes-Benz Classe C coupé AMG,120 000,2019,Automatique,Essence,145 000
Land Rover Range Rover Sport,90 000,2017,Automatique,Diesel,230 000
Porsche Cayenne,158 000,2015,Automatique,Essence,220 000
BMW Série 3,210 000,2015,Automatique,Essence,67 000
Mercedes-Benz Classe A,50 000,2020,Automatique,Essence,108 000
Mercedes-Benz Classe C,180 000,2013,Automatique,Essence,66 000
Renault Kadjar,98 000,2021,Automatique,Essence,83 000
Land Rover Range Rover Sport,208 000,2007,Automatique,Diesel,85 000
Audi Q3,40 000,2023,Automatique,Hybride,200 000
KIA Sorento,120 000,2016,Automatique,Diesel,95 000
KIA Sportage,140 000,2018,Automatique,Diesel,118 000
KIA Rio 5p SX PLUS,99 000,2020,Manuelle,Essence,53 000
Wallyscar 719,86 573,2023,Manuelle,Essence,Sous leasing                    47 100
Renault Megane Sedan,46 000,2019,Manuelle,Essence,61 000
Ford Ecosport,19 000,2022,Manuelle,Essence,78 000
Mercedes-Benz ML,250 000,2007,Automatique,Diesel,58 000
Ford Focus Trend Sport,180 000,2014,Manuelle,Essence,36 000
Toyota Prado Adventure,330 000,1999,Manuelle,Diesel,65 000
Peugeot 207 Access Plus,290 000,2011,Manuelle,Diesel,27 500
Mercedes-Benz CLA,60 000,2021,Automatique,Diesel,145 000
Hyundai ix35 Toit Panoramique,160 000,2016,Automatique,Diesel,63 500
Volkswagen Polo Sedan Trendline,170 000,2020,Manuelle,Essence,41 300
Mercedes-Benz Classe A AMG,180 000,2014,Automatique,Essence,68 500
Mercedes-Benz GLC Coupé AMG,0,2024,Automatique,Essence,420 000
Mercedes-Benz Classe C,200 000,2014,Automatique,Essence,105 000
Ssangyong Tivoli Confort Plus,4 700,2018,Automatique,Essence,65 000
Mini 3 portes John Cooper Works,100 000,2017,Automatique,Essence,63 000
Toyota Hilux Double Cabine D4D,140 000,2020,Automatique,Diesel,168 000
Land Rover Range Rover Evoque HSE,60 000,2022,Automatique,Hybride,255 000
Mercedes-Benz Classe A Berline AMG,100 000,2020,Automatique,Essence,132 000
Land Rover Range Rover Sport Autobiography,60 000,2021,Automatique,Hybride,385 000
Mercedes-Benz CLA AMG,0,2024,Automatique,Essence,220 000
Porsche Cayenne Coupé GTS,70 000,2020,Automatique,Hybride,480 000
Mercedes-Benz GLE Coupé,30 000,2022,Automatique,Hybride,450 000
Mercedes-Benz Classe E AMG,70 000,2020,Automatique,Hybride,260 000
Mercedes-Benz GLC Coupé AMG,80 000,2021,Automatique,Hybride,270 000
BMW Série 4 Gran Coupé KIT-M-individual,120 000,2016,Automatique,Essence,145 000
Mercedes-Benz CLA,130 000,2017,Automatique,Diesel,115 000
Audi A3 Sportback 1.5,900,2023,Automatique,Hybride,145 000
Tesla Model 3 Modèle 3 Highland 2024,15 000,2023,Automatique,Electrique,190 000
Mercedes-Benz GLC AMG,130 000,2018,Automatique,Hybride,197 000
Mercedes-Benz Classe E,158 000,2020,Automatique,Diesel,168 000
Nissan Qashqai,147 000,2016,Manuelle,Diesel,56 000
Hyundai Tucson,37 000,2022,Automatique,Essence,145 000
Audi Q2 Design,77 000,2019,Automatique,Essence,95 000
KIA Rio 5p,51 000,2021,Manuelle,Essence,62 000
Toyota C-HR,71 000,2021,Automatique,Essence,85 000
KIA Sportage Black Edition,117 000,2018,Automatique,Essence,78 000
Mahindra KUV 100 K6+,90 000,2021,Manuelle,Essence,26 000
Toyota C-HR,165 000,2020,Automatique,Essence,75 000
Ford Fiesta Trend,161 000,2013,Manuelle,Essence,28 000
BMW Série 4 Coupé M,85 000,2019,Automatique,Essence,150 000
Renault Megane Sedan,70 000,2021,Manuelle,Essence,60 000
Mazda CX-9 High grade,155 000,2019,Automatique,Essence,104 000
Ford Fiesta Titanium,223 000,2013,Manuelle,Essence,29 500
Peugeot Partner,320 000,2009,Manuelle,Diesel,26 000
Suzuki Celerio,45 000,2022,Manuelle,Essence,37 900
Mercedes-Benz CLA AMG,100 000,2020,Automatique,Essence,144 900
MG HS Trophy,111 000,2022,Automatique,Essence,90 000
Seat Ibiza,83 000,2019,Manuelle,Essence,41 500
Ssangyong Tivoli,235 000,2018,Automatique,Essence,48 000
Mahindra KUV 100 K6+,59 000,2022,Manuelle,Essence,32 500
Hyundai H-1,999 999,2006,Manuelle,Essence,18 000
