Boite vitesse,Brand,Car ID,Carrosserie,Couleur extérieure,Couleur intérieure,Cylindrée,Date de l'annonce,Gouvernorat,Génération,Kilométrage,Marque,Mise en circulation,Model,Modèle,Moteur,Nombre de places,Nombre de portes,Price,Puissance,Puissance fiscale,Sellerie,Transmission,Énergie
Manuelle,peugeot,109353,Citadine,Noir,Noir,1198cm³,20.12.2024,Ben Arous,I Phase 2 5 Portes04/2015 - 10/2019,122 000km,Peugeot,11.2017,208,208,,5,4,27 900DT,,5cv,Tissu,Traction,Essence
Manuelle,peugeot,109085,Citadine,Noir,Noir,1198cm³,20.12.2024,Ariana,(A94) 5HB04/2013 - 10/2019,141 000km,Peugeot,05.2014,2008,2008,,5,4,31 500DT,,5cv,Tissu,Traction,Essence
Manuelle,peugeot,108571,Berline,Gris anthracite,Noir,1198cm³,20.12.2024,Ariana,phase 201/2017 - Aujourd'hui,195 000km,Peugeot,10.2018,301,301,,5,4,25 500DT,,5cv,Tissu,Traction,Essence
Manuelle,peugeot,108570,Citadine,Blanc,Noir,999cm³,20.12.2024,Ben Arous,II (P21) 5 Portes10/2019 - 03/2024,11 000km,Peugeot,11.2020,208,208,,5,4,39 000DT,,4cv,Tissu,Traction,Essence
Manuelle,peugeot,108534,Citadine,Blanc,Noir,1198cm³,20.12.2024,Ben Arous,II (P21) 5 Portes10/2019 - 03/2024,37 000km,Peugeot,06.2022,208,208,,5,4,43 500DT,,4cv,Similicuir,Traction,Essence
Manuelle,peugeot,108292,Coupé,Blanc,Noir,1389cm³,20.12.2024,Ben Arous,3 portes03/2006 - 12/2012,290 000km,Peugeot,07.2011,207,207,,4,2,27 500DT,,6cv,Tissu,Traction,Diesel
Manuelle,peugeot,107522,SUV/4x4,Noir,Noir,1198cm³,20.12.2024,Ben Arous,II07/2016 - 08/2020,131 000km,Peugeot,04.2017,3008,3008,,5,4,62 000DT,,7cv,Similicuir,Traction,Essence
Manuelle,peugeot,107332,Berline,Gris anthracite,Noir,1198cm³,20.12.2024,Tunis,11/2012 - 01/2017,93 000km,Peugeot,04.2014,301,301,,5,4,26 000DT,,5cv,Tissu,Traction,Essence
Manuelle,peugeot,106917,SUV/4x4,Gris Shark,Noir,1198cm³,20.12.2024,Ariana,(A94) 5HB04/2013 - 10/2019,60 000km,Peugeot,11.2016,2008,2008,1.2 VTi 12V,5,4,45 000DT,82ch dyn,5cv,Tissu,Traction,Essence
Manuelle,peugeot,106654,Utilitaire,Noir,Noir,1198cm³,20.12.2024,Ben Arous,(B9) Utilitaire Phase 204/2015 - 10/2018,113 000km,Peugeot,09.2018,partner,Partner,,2,3,39 500DT,,5cv,Tissu,Traction,Diesel
Manuelle,peugeot,105927,Utilitaire,Blanc,Noir,1198cm³,20.12.2024,Ben Arous,06/2018 - Aujourd'hui,67 000km,Peugeot,12.2019,rifter,Rifter,,5,4,69 000DT,,6cv,Tissu,Traction,Essence
Manuelle,peugeot,105865,Monospace,Beige,Noir,1198cm³,20.12.2024,Tunis,I Phase 2 3 Portes04/2015 - 08/2018,104 000km,Peugeot,02.2017,208-3p,208 3P,,4,2,32 900DT,,5cv,Similicuir,Traction,Essence
Manuelle,peugeot,104927,Pick up,Gris anthracite,Noir,1898cm³,20.12.2024,Ben Arous,03/2021 - Aujourd'hui,34 000km,Peugeot,11.2022,landtrek-double-cabine,Landtrek Double Cabine,,5,4,95 000DT,,6cv,Tissu,Traction,Diesel
,peugeot,104285,,,,,,,,,,,3008,,,,,N/A,,,,,
Manuelle,peugeot,103724,Monospace,Blanc,Noir,1199cm³,20.12.2024,Tunis,I Phase 2 3 Portes04/2015 - 08/2018,74 000km,Peugeot,08.2016,208-3p,208 3P,,2,2,38 500DT,,5cv,Tissu,Traction,Essence
Manuelle,peugeot,100630,Citadine,Noir,Noir,1599cm³,20.12.2024,Ben Arous,I03/2009 - 09/2013,230 000km,Peugeot,10.2010,3008,3008,,5,4,33 000DT,,7cv,Similicuir,Traction,Essence
Automatique,peugeot,100350,SUV/4x4,Noir,Noir,1598cm³,20.12.2024,Ben Arous,II07/2016 - 08/2020,132 000km,Peugeot,06.2018,3008,3008,,5,5,84 900DT,,9cv,Similicuir,Traction,Essence
Automatique,peugeot,98065,SUV/4x4,Noir,,,20.12.2024,Ben Arous,II07/2016 - 08/2020,169 000km,Peugeot,05.2020,3008,3008,,,,80 000DT,,7cv,,Traction,Essence
Manuelle,peugeot,109465,Berline,Noir,Noir,1199cm³,19.12.2024,Ariana,II (T9) Phase II09/2017 - 07/2021,64 000km,Peugeot,12.2020,308,308,1.2 THP Puretech 12V,5,5,49 000DT,110ch dyn,6cv,Tissu,Traction,Essence
Manuelle,peugeot,106118,Citadine,Gris Shark,Gris,1200cm³,19.12.2024,Monastir,II (T9) Phase II09/2017 - 07/2021,102 000km,Peugeot,01.2020,308,308,,5,5,50 000DT,,5cv,Tissu,Traction,Essence
Manuelle,peugeot,109400,Monospace,Blanc,Noir,1499cm³,19.12.2024,Nabeul,(K9)10/2018 - 05/2024,148 000km,Peugeot,10.2020,partner,Partner,,2,2,46 000DT,,5cv,Tissu,Traction,Diesel
Manuelle,peugeot,109398,Citadine,Noir,Noir,1499cm³,19.12.2024,Nabeul,II (P21) 5 Portes10/2019 - 03/2024,88 000km,Peugeot,02.2021,208,208,Affaire 1.5 Blue HDi 16V S&S,5,5,46 500DT,100ch dyn,5cv,Tissu,Traction,Diesel
Manuelle,peugeot,107205,Citadine,Blanc,Noir,1499cm³,19.12.2024,Nabeul,II (P21) 5 Portes10/2019 - 03/2024,108 000km,Peugeot,02.2021,208,208,,5,5,45 500DT,,5cv,Tissu,Traction,Diesel
Automatique,peugeot,106072,SUV/4x4,Noir,Noir,1489cm³,19.12.2024,Nabeul,II07/2016 - 08/2020,148 000km,Peugeot,03.2020,3008,3008,,5,5,79 000DT,,6cv,Tissu,Traction,Diesel
Manuelle,peugeot,107426,Autres,Autre,Noir,1199cm³,19.12.2024,Sousse,II01/2017 - 08/2020,160 000km,Peugeot,12.2019,5008,5008,,7,5,78 000DT,,7cv,Cuir intégral,Traction,Essence
Manuelle,peugeot,109429,Utilitaire,Bleu,Noir,1600cm³,19.12.2024,Tozeur,(K9)10/2018 - 05/2024,90 000km,Peugeot,03.2022,partner,Partner,L1 1.6 BlueHDi 8V FAP,2,3,54 500DT,100ch dyn,5cv,Tissu,Traction,Diesel
Automatique,peugeot,109427,Berline,Noir,Gris,2000cm³,19.12.2024,Tunis,Berline04/2004 - 05/2011,130 000km,Peugeot,05.2007,407,407,2.0 i 16V,5,4,26 500DT,138ch dyn,9cv,Velours,Traction,Essence
Manuelle,peugeot,108953,Berline,Blanc,Noir,1198cm³,19.12.2024,Tunis,phase 201/2017 - Aujourd'hui,73 000km,Peugeot,08.2021,301,301,1.2 VTi 12V,5,4,33 000DT,82ch dyn,5cv,Tissu,Traction,Essence
Manuelle,peugeot,108228,Utilitaire,Blanc,Noir,1559cm³,19.12.2024,Sfax,(K9)10/2018 - 05/2024,73 000km,Peugeot,05.2019,partner-origin-utilitaire,Partner Origin Utilitaire,L1 HD 1.2 THP 12V S&S,2,2,56 000DT,110ch dyn,5cv,Tissu,Traction,Diesel
Manuelle,peugeot,107928,SUV/4x4,Noir,Noir,1200cm³,19.12.2024,Ariana,II07/2016 - 08/2020,130 000km,Peugeot,04.2017,3008,3008,1.2 THP Puretech 12V S&S,5,4,65 000DT,130ch dyn,7cv,Cuir intégral,Intégrale,Essence
Manuelle,peugeot,107865,SUV/4x4,Gris Shark,Noir,1200cm³,19.12.2024,Ariana,(A94) 5HB04/2013 - 10/2019,100 000km,Peugeot,03.2017,2008,2008,,5,4,43 000DT,,6cv,Tissu,Intégrale,Essence
Manuelle,peugeot,109021,Compacte,Noir,Noir,999cm³,19.12.2024,Sousse,II (T9) Phase II09/2017 - 07/2021,96 000km,Peugeot,12.2019,308,308,,5,4,54 000DT,,4cv,Tissu,Traction,Diesel
Automatique,peugeot,109046,Citadine,Bleu,Noir,1598cm³,19.12.2024,Sousse,II07/2022 - Aujourd'hui,15 000km,Peugeot,05.2024,408,408,1.2 THP Puretech 12V EAT8 S&S,5,4,150 000DT,131ch dyn,13cv,Cuir intégral,Traction,Essence
Automatique,peugeot,109284,SUV/4x4,Blanc,Noir,1600cm³,19.12.2024,Tunis,II07/2016 - 08/2020,110 000km,Peugeot,08.2017,3008,3008,,5,5,77 000DT,,9cv,Cuir intégral,Propulsion,Essence
Automatique,peugeot,108007,SUV/4x4,Rouge,Noir,1200cm³,19.12.2024,Tunis,(A94) 5HB04/2013 - 10/2019,61 000km,Peugeot,08.2018,2008,2008,1.2 THP Puretech 12V EAT6 S&S,5,5,49 000DT,110ch dyn,6cv,Tissu,Intégrale,Essence
Automatique,peugeot,106856,SUV/4x4,Autre,Noir,1200cm³,19.12.2024,Tunis,II07/2016 - 08/2020,140 000km,Peugeot,09.2018,3008,3008,,5,5,82 000DT,,7cv,Alcantara,Traction,Essence
Manuelle,peugeot,109448,Utilitaire,Gris anthracite,Noir,1560cm³,19.12.2024,Tunis,(K9)10/2018 - 05/2024,62 000km,Peugeot,02.2023,partner,Partner,L1 1.5 BlueHDi 16V FAP,2,2,57 000DT,100ch dyn,5cv,Tissu,Traction,Diesel
Manuelle,peugeot,107931,Utilitaire,Blanc,Gris,1999cm³,19.12.2024,Sfax,(K9)10/2018 - 05/2024,87 261km,Peugeot,01.2020,partner,Partner,,3,2,59 000DT,,5cv,Tissu,Propulsion,Diesel
Manuelle,peugeot,104288,Autres,Blanc,Gris,1560cm³,19.12.2024,Sfax,(K9)10/2018 - 05/2024,144 790km,Peugeot,03.2019,partner,Partner,,2,2,55 000DT,,5cv,Tissu,Propulsion,Diesel
Automatique,peugeot,109444,SUV/4x4,Autre,Noir,1199cm³,19.12.2024,Sfax,II Phase 209/2020 - Aujourd'hui,117 000km,Peugeot,03.2021,3008,3008,1.2 THP Puretech 12V GPF EAT8 S&S,5,5,88 000DT,130ch dyn,7cv,Similicuir,Traction,Essence
Automatique,peugeot,107781,SUV/4x4,Rouge,Noir,1200cm³,19.12.2024,La Manouba,II07/2016 - 08/2020,55 000km,Peugeot,06.2020,3008,3008,1.2 THP Puretech 12V EAT6 S&S,5,5,92 000DT,130ch dyn,7cv,Cuir partiel,Traction,Essence
Manuelle,peugeot,108963,Berline,Gris anthracite,Gris,1200cm³,19.12.2024,Ariana,III (P5)08/2021 - Aujourd'hui,36 765km,Peugeot,11.2021,308,308,1.2 THP Puretech 12V S&S,5,4,53 000DT,110ch dyn,5cv,Tissu,Traction,Essence
Automatique,peugeot,106492,Berline,Vert,Noir,1500cm³,19.12.2024,Ariana,III (P5) SW07/2021 - Aujourd'hui,48 000km,Peugeot,06.2023,308,308,1.5 BlueHDi 16V EAT8 S&S,5,4,126 000DT,130ch dyn,7cv,Tissu,Traction,Diesel
Manuelle,peugeot,106132,Utilitaire,Blanc,Noir,1500cm³,19.12.2024,Ariana,III Combi05/2016 - Aujourd'hui,139 199km,Peugeot,11.2019,expert,Expert,Compact 1.5 Blue HDi 16V S&S,3,4,59 000DT,120ch dyn,6cv,Tissu,Traction,Diesel
Automatique,peugeot,100501,SUV/4x4,Blanc,Noir,1200cm³,19.12.2024,Ariana,II (P24E) 5HB10/2019 - Aujourd'hui,125 000km,Peugeot,05.2018,2008,2008,1.2 THP Puretech 12V EAT8,5,4,55 000DT,155ch dyn,6cv,Cuir intégral,Traction,Essence
Manuelle,peugeot,108786,Autres,Gris argent,Noir,1910cm³,19.12.2024,Tunis,03/2021 - Aujourd'hui,124 000km,Peugeot,09.2021,landtrek-double-cabine,Landtrek Double Cabine,1.9 d  double cabine 4x2,5,4,64 500DT,150ch dyn,6cv,Tissu,Traction,Diesel
Automatique,peugeot,107488,SUV/4x4,Bleu,Gris,1199cm³,19.12.2024,Tunis,II07/2016 - 08/2020,93 000km,Peugeot,11.2020,3008,3008,,5,5,69 000DT,,7cv,Tissu,Traction,Essence
Automatique,peugeot,108493,SUV/4x4,Gris Shark,Gris,1200cm³,19.12.2024,Tunis,II07/2016 - 08/2020,87 000km,Peugeot,02.2019,3008,3008,,4,4,82 000DT,,7cv,Cuir partiel,Traction,Essence
Automatique,peugeot,106381,Berline,Noir,Gris,1600cm³,19.12.2024,Tunis,II Berline10/2018 - Aujourd'hui,137 000km,Peugeot,09.2019,508,508,,5,4,79 000DT,,8cv,Tissu,Traction,Essence
Automatique,peugeot,108890,SUV/4x4,Blanc,Noir,1399cm³,19.12.2024,Tunis,II07/2016 - 08/2020,38 000km,Peugeot,09.2019,3008,3008,,5,5,88 000DT,,7cv,Tissu,Traction,Essence
Automatique,peugeot,108833,SUV/4x4,Noir,Noir,1400cm³,19.12.2024,Tunis,II07/2016 - 08/2020,75 000km,Peugeot,07.2020,3008,3008,,5,5,75 000DT,,6cv,Tissu,Traction,Essence
Automatique,peugeot,107772,Citadine,Bleu,Noir,1699cm³,19.12.2024,Tunis,II07/2022 - Aujourd'hui,10 000km,Peugeot,03.2024,408-gt,408 GT,,5,5,155 000DT,,11cv,Cuir intégral,Traction,Essence
Automatique,peugeot,107624,SUV/4x4,Noir,Noir,1599cm³,19.12.2024,Tunis,II07/2016 - 08/2020,112 000km,Peugeot,01.2020,3008,3008,,5,5,69 000DT,,7cv,Tissu,Traction,Essence
Automatique,peugeot,107550,SUV/4x4,Noir,Noir,1599cm³,19.12.2024,Tunis,,125 000km,Peugeot,07.2020,3008-gt-line,3008 GT,,5,5,89 000DT,,6cv,Similicuir,Traction,Essence
Manuelle,peugeot,106499,Citadine,Noir,Noir,1200cm³,19.12.2024,Tunis,II (T9) Phase II09/2017 - 07/2021,128 000km,Peugeot,06.2020,308,308,,5,5,47 000DT,,6cv,Tissu,Traction,Essence
Manuelle,peugeot,105372,SUV/4x4,Orange,Noir,1200cm³,19.12.2024,Tunis,II (P24E) 5HB10/2019 - Aujourd'hui,100 000km,Peugeot,12.2021,2008,2008,,5,5,80 000DT,,6cv,Tissu,Traction,Diesel
Manuelle,peugeot,104957,Compacte,Blanc,Noir,1599cm³,19.12.2024,Tunis,06/2018 - Aujourd'hui,95 000km,Peugeot,11.2020,rifter,Rifter,,5,5,72 000DT,,7cv,Tissu,Traction,Diesel
Manuelle,peugeot,104924,Compacte,Blanc,Noir,1500cm³,19.12.2024,Tunis,06/2018 - Aujourd'hui,95 000km,Peugeot,11.2020,rifter,Rifter,,5,5,72 000DT,,7cv,Tissu,Traction,Diesel
Automatique,peugeot,102489,SUV/4x4,Gris Shark,Gris,1399cm³,19.12.2024,Tunis,II (P24E) 5HB10/2019 - Aujourd'hui,34 000km,Peugeot,06.2022,2008,2008,,5,5,97 000DT,,7cv,Tissu,Traction,Essence
Manuelle,peugeot,101998,Citadine,Gris argent,Noir,1190cm³,19.12.2024,Tunis,II (P21) 5 Portes10/2019 - 03/2024,60 000km,Peugeot,05.2020,208,208,,5,5,35 000DT,,4cv,Cuir partiel,Traction,Essence
Manuelle,peugeot,99879,SUV/4x4,Gris Shark,Noir,1200cm³,19.12.2024,Tunis,II (P24E) 5HB10/2019 - Aujourd'hui,30 000km,Peugeot,07.2021,2008,2008,1.2 THP Puretech 12V S&S,5,5,92 000DT,130ch dyn,7cv,Tissu,Traction,Essence
Automatique,peugeot,98421,SUV/4x4,Blanc,,,19.12.2024,Tunis,II07/2016 - 08/2020,260 000km,Peugeot,08.2017,3008,3008,,,,77 000DT,,9cv,,Traction,Essence
Manuelle,peugeot,91509,Citadine,Noir,,,19.12.2024,Tunis,05/2010 - 12/2015,171 000km,Peugeot,04.2011,rcz,RCZ,,,,40 000DT,,7cv,,Traction,Essence
Automatique,peugeot,108762,Citadine,Noir,Noir,1600cm³,19.12.2024,Tunis,II Phase 2 (P87)09/2020 - Aujourd'hui,7 000km,Peugeot,04.2023,5008,5008,,5,5,138 000DT,,9cv,Tissu,Traction,Essence
Manuelle,peugeot,108497,Utilitaire,Blanc,Gris,1600cm³,19.12.2024,Tunis,(B9) Utilitaire05/2008 - 04/2015,218 000km,Peugeot,06.2014,partner,Partner,,2,2,27 000DT,,5cv,Tissu,Traction,Diesel
Automatique,peugeot,104856,Berline,Rouge,Noir,1600cm³,19.12.2024,Tunis,,115 000km,Peugeot,03.2020,508-gt-line,508 GT Line,,5,4,116 000DT,,9cv,Cuir intégral,Traction,Essence
Automatique,peugeot,109368,Compacte,Noir,Gris,2000cm³,19.12.2024,Tunis,Berline04/2004 - 05/2011,130 000km,Peugeot,01.2007,407,407,2.0 i 16V,5,4,26 500DT,138ch dyn,9cv,Velours,Traction,Essence
